id,conversation_id,role,participantable_id,participantable_type,exited_at,last_active_at,conversation_cleared_at,conversation_deleted_at,conversation_read_at,deleted_at,created_at,updated_at
146,73,owner,567346,App\Models\Customer,,,,,,,2025-12-22 13:44:38,2025-12-22 13:44:38
147,74,owner,1,App\Models\User,,,,,,,2025-12-22 14:24:05,2025-12-22 14:24:05
148,74,owner,430215,App\Models\Customer,,,,,,,2025-12-22 14:24:05,2025-12-22 14:24:05
149,75,owner,1,App\Models\User,,,,,,,2025-12-22 15:48:17,2025-12-22 15:48:17
150,75,owner,174751,App\Models\Customer,,,,,,,2025-12-22 15:48:17,2025-12-22 15:48:17
151,76,owner,1,App\Models\User,,,,,,,2025-12-22 16:02:18,2025-12-22 16:02:18
152,76,owner,673627,App\Models\Customer,,,,,,,2025-12-22 16:02:18,2025-12-22 16:02:18
153,77,owner,1,App\Models\User,,,,,,,2025-12-22 16:54:02,2025-12-22 16:54:02
154,77,owner,673630,App\Models\Customer,,,,,,,2025-12-22 16:54:02,2025-12-22 16:54:02
155,78,owner,1,App\Models\User,,,,,,,2025-12-22 19:36:56,2025-12-22 19:36:56
156,78,owner,673633,App\Models\Customer,,,,,,,2025-12-22 19:36:56,2025-12-22 19:36:56
157,79,owner,1,App\Models\User,,,,,,,2025-12-22 19:46:20,2025-12-22 19:46:20
158,79,owner,658483,App\Models\Customer,,,,,,,2025-12-22 19:46:20,2025-12-22 19:46:20
159,80,owner,1,App\Models\User,,,,,,,2025-12-22 20:05:48,2025-12-22 20:05:48
160,80,owner,673311,App\Models\Customer,,,,,,,2025-12-22 20:05:48,2025-12-22 20:05:48
161,81,owner,1,App\Models\User,,,,,,,2025-12-22 20:39:31,2025-12-22 20:39:31
162,81,owner,673634,App\Models\Customer,,,,,,,2025-12-22 20:39:31,2025-12-22 20:39:31
163,82,owner,1,App\Models\User,,,,,,,2025-12-23 01:19:50,2025-12-23 01:19:50
164,82,owner,156813,App\Models\Customer,,,,,,,2025-12-23 01:19:50,2025-12-23 01:19:50
165,83,owner,1,App\Models\User,,,,,,,2025-12-23 13:40:23,2025-12-23 13:40:23
166,83,owner,656034,App\Models\Customer,,,,,,,2025-12-23 13:40:23,2025-12-23 13:40:23
167,84,owner,1,App\Models\User,,,,,,,2025-12-23 13:47:04,2025-12-23 13:47:04
168,84,owner,414509,App\Models\Customer,,,,,,,2025-12-23 13:47:04,2025-12-23 13:47:04
169,85,owner,1,App\Models\User,,,,,,,2025-12-23 14:41:47,2025-12-23 14:41:47
170,85,owner,673641,App\Models\Customer,,,,,,,2025-12-23 14:41:47,2025-12-23 14:41:47
171,86,owner,1,App\Models\User,,,,,,,2025-12-23 14:41:47,2025-12-23 14:41:47
172,86,owner,673641,App\Models\Customer,,,,,,,2025-12-23 14:41:47,2025-12-23 14:41:47
173,87,owner,1,App\Models\User,,,,,,,2025-12-23 15:08:31,2025-12-23 15:08:31
174,87,owner,673642,App\Models\Customer,,,,,,,2025-12-23 15:08:31,2025-12-23 15:08:31
175,88,owner,1,App\Models\User,,,,,,,2025-12-23 17:39:21,2025-12-23 17:39:21
176,88,owner,673645,App\Models\Customer,,,,,,,2025-12-23 17:39:21,2025-12-23 17:39:21
177,89,owner,1,App\Models\User,,,,,,,2025-12-23 18:03:35,2025-12-23 18:03:35
178,89,owner,673646,App\Models\Customer,,,,,,,2025-12-23 18:03:35,2025-12-23 18:03:35
179,90,owner,1,App\Models\User,,,,,,,2025-12-23 18:17:28,2025-12-23 18:17:28
180,90,owner,673647,App\Models\Customer,,,,,,,2025-12-23 18:17:28,2025-12-23 18:17:28
181,91,owner,1,App\Models\User,,,,,,,2025-12-23 18:49:03,2025-12-23 18:49:03
182,91,owner,417385,App\Models\Customer,,,,,,,2025-12-23 18:49:03,2025-12-23 18:49:03
183,92,owner,1,App\Models\User,,,,,,,2025-12-23 19:19:35,2025-12-23 19:19:35
184,92,owner,172753,App\Models\Customer,,,,,,,2025-12-23 19:19:35,2025-12-23 19:19:35
185,93,owner,1,App\Models\User,,,,,,,2025-12-23 19:32:28,2025-12-23 19:32:28
186,93,owner,172906,App\Models\Customer,,,,,,,2025-12-23 19:32:28,2025-12-23 19:32:28
187,94,owner,1,App\Models\User,,,,,,,2025-12-23 19:45:42,2025-12-23 19:45:42
188,94,owner,200990,App\Models\Customer,,,,,,,2025-12-23 19:45:42,2025-12-23 19:45:42
189,95,owner,1,App\Models\User,,,,,,,2025-12-23 21:57:52,2025-12-23 21:57:52
190,95,owner,668928,App\Models\Customer,,,,,,,2025-12-23 21:57:52,2025-12-23 21:57:52
191,96,owner,1,App\Models\User,,,,,,,2025-12-23 22:05:07,2025-12-23 22:05:07
192,96,owner,647549,App\Models\Customer,,,,,,,2025-12-23 22:05:07,2025-12-23 22:05:07
193,97,owner,1,App\Models\User,,,,,,,2025-12-24 02:43:13,2025-12-24 02:43:13
194,97,owner,673654,App\Models\Customer,,,,,,,2025-12-24 02:43:13,2025-12-24 02:43:13
195,98,owner,1,App\Models\User,,,,,,,2025-12-24 07:35:12,2025-12-24 07:35:12
196,98,owner,663220,App\Models\Customer,,,,,,,2025-12-24 07:35:12,2025-12-24 07:35:12
197,99,owner,1,App\Models\User,,,,,,,2025-12-24 08:05:07,2025-12-24 08:05:07
198,99,owner,671965,App\Models\Customer,,,,,,,2025-12-24 08:05:07,2025-12-24 08:05:07
199,100,owner,1,App\Models\User,,,,,,,2025-12-24 09:15:55,2025-12-24 09:15:55
200,100,owner,406683,App\Models\Customer,,,,,,,2025-12-24 09:15:55,2025-12-24 09:15:55
201,101,owner,1,App\Models\User,,,,,,,2025-12-24 09:15:55,2025-12-24 09:15:55
202,101,owner,406683,App\Models\Customer,,,,,,,2025-12-24 09:15:55,2025-12-24 09:15:55
203,102,owner,1,App\Models\User,,,,,,,2025-12-24 09:53:38,2025-12-24 09:53:38
204,102,owner,673657,App\Models\Customer,,,,,,,2025-12-24 09:53:38,2025-12-24 09:53:38
205,103,owner,1,App\Models\User,,,,,,,2025-12-24 11:57:33,2025-12-24 11:57:33
206,103,owner,177509,App\Models\Customer,,,,,,,2025-12-24 11:57:33,2025-12-24 11:57:33
207,104,owner,1,App\Models\User,,,,,,,2025-12-24 12:28:54,2025-12-24 12:28:54
208,104,owner,199221,App\Models\Customer,,,,,,,2025-12-24 12:28:54,2025-12-24 12:28:54
209,105,owner,1,App\Models\User,,,,,,,2025-12-24 12:41:42,2025-12-24 12:41:42
210,105,owner,193912,App\Models\Customer,,,,,,,2025-12-24 12:41:42,2025-12-24 12:41:42
211,106,owner,1,App\Models\User,,,,,,,2025-12-24 12:59:51,2025-12-24 12:59:51
212,106,owner,673653,App\Models\Customer,,,,,,,2025-12-24 12:59:51,2025-12-24 12:59:51
213,107,owner,1,App\Models\User,,,,,,,2025-12-24 13:58:02,2025-12-24 13:58:02
214,107,owner,673659,App\Models\Customer,,,,,,,2025-12-24 13:58:02,2025-12-24 13:58:02
215,108,owner,1,App\Models\User,,,,,,,2025-12-24 14:23:31,2025-12-24 14:23:31
